year,make,model,class,motor,transmission,fuel,city(kWh/100km),hwy(kWh/100km),comb(kWh/100km),city(Le/100km),hwy(Le/100km),comb(Le/100km),range,co2_emissions,co2_rating,smog_rating,recharge_time
2023,Mercedes-Benz,EQS 580 4MATIC Sedan,Full-size,385.0,A1,B,23.3,22.7,23.0,2.6,2.5,2.6,547.0,0.0,10.0,10.0,11.25
2023,Mercedes-Benz,EQS 580 4MATIC SUV,SUV: Standard,400.0,A1,B,26.1,28.0,27.3,3.0,3.2,3.1,459.0,0.0,10.0,10.0,11.5
2023,MINI,Cooper SE 3 Door,Subcompact,135.0,A1,B,17.6,20.9,19.1,2.0,2.3,2.1,183.0,0.0,10.0,10.0,4.0
2023,Polestar,2 Single Motor,Mid-size,170.0,A1,B,18.5,20.9,19.6,2.1,2.3,2.2,435.0,0.0,10.0,10.0,8.0
2023,Polestar,2 Dual Motor,Mid-size,300.0,A1,B,20.0,21.9,20.9,2.3,2.5,2.3,418.0,0.0,10.0,10.0,8.0
2023,Polestar,2 Dual Motor Performance Pack,Mid-size,350.0,A1,B,20.0,21.9,20.9,2.3,2.5,2.3,418.0,0.0,10.0,10.0,8.0
2023,Polestar,2 BST Edition,Mid-size,350.0,A1,B,21.3,23.1,22.1,2.4,2.6,2.5,397.0,0.0,10.0,10.0,8.0
2023,Porsche,Taycan 4S (Performance Battery),Compact,320.0,A2,B,25.5,25.5,25.5,2.9,2.9,2.9,332.0,0.0,10.0,10.0,9.5
2023,Porsche,Taycan 4S (Performance Battery Plus),Compact,360.0,A2,B,26.5,26.0,26.3,3.0,2.9,3.0,378.0,0.0,10.0,10.0,10.5
2023,Porsche,Taycan 4S Cross Turismo,Mid-size,360.0,A2,B,26.7,26.7,26.7,3.0,3.0,3.0,370.0,0.0,10.0,10.0,10.5
2023,Porsche,Taycan GTS,Compact,380.0,A2,B,25.1,25.5,25.3,2.8,2.9,2.8,396.0,0.0,10.0,10.0,10.5
2023,Porsche,Taycan GTS Sport Turismo,Compact,380.0,A2,B,26.1,26.2,26.2,2.9,2.9,2.9,322.0,0.0,10.0,10.0,10.5
2023,Porsche,Taycan Turbo,Compact,460.0,A2,B,25.7,26.3,26.0,2.9,3.0,2.9,383.0,0.0,10.0,10.0,10.5
2023,Porsche,Taycan Turbo Cross Turismo,Mid-size,460.0,A2,B,26.1,27.0,26.5,2.9,3.0,3.0,375.0,0.0,10.0,10.0,10.5
2023,Porsche,Taycan Turbo S,Compact,460.0,A2,B,27.3,28.6,28.0,3.1,3.2,3.1,357.0,0.0,10.0,10.0,10.5
2023,Porsche,Taycan Turbo S Cross Turismo,Mid-size,460.0,A2,B,27.3,28.6,28.0,3.1,3.2,3.1,357.0,0.0,10.0,10.0,10.5
2023,Rivian,"R1S (20"" Wheels)",SUV: Standard,650.0,A1,B,30.5,35.1,32.5,3.4,3.9,3.7,465.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1S (20"" Wheels) All-Terrain",SUV: Standard,650.0,A1,B,32.0,35.0,33.4,3.6,3.9,3.7,441.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1S (20"" Wheels) AT Dual Large",SUV: Standard,418.0,A1,B,29.0,32.5,30.6,3.3,3.6,3.4,494.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1S (20"" Wheels) AT Performance Dual Large",SUV: Standard,496.0,A1,B,29.0,32.5,30.6,3.3,3.6,3.4,494.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1S (21"" Wheels)",SUV: Standard,650.0,A1,B,27.8,31.5,29.5,3.1,3.5,3.3,517.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1S (21"" Wheels) Dual Large",SUV: Standard,418.0,A1,B,25.6,28.4,26.9,2.9,3.2,3.0,566.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1S (21"" Wheels) Performance Dual Large",SUV: Standard,496.0,A1,B,25.6,28.4,26.9,2.9,3.2,3.0,566.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1S (22"" Wheels)",SUV: Standard,650.0,A1,B,28.7,33.1,30.7,3.2,3.7,3.4,488.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1S (22"" Wheels) Dual Large",SUV: Standard,418.0,A1,B,26.3,29.6,27.8,3.0,3.3,3.1,549.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1S (22"" Wheels) Performance Dual Large",SUV: Standard,496.0,A1,B,26.3,29.6,27.8,3.0,3.3,3.1,549.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1T (20"" Wheels)",Pickup truck: Standard,650.0,A1,B,30.5,35.1,32.5,3.4,3.9,3.7,465.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1T (20"" Wheels) All-Terrain",Pickup truck: Standard,650.0,A1,B,32.0,35.0,33.4,3.6,3.9,3.7,441.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1T (20"" Wheels) AT Dual Large",Pickup truck: Standard,418.0,A1,B,29.0,32.5,30.6,3.3,3.6,3.4,494.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1T (20"" Wheels) AT Performance Dual Large",Pickup truck: Standard,496.0,A1,B,29.0,32.5,30.6,3.3,3.6,3.4,494.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1T (21"" Wheels)",Pickup truck: Standard,650.0,A1,B,27.4,30.2,28.7,3.1,3.4,3.2,528.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1T (21"" Wheels) Dual Large",Pickup truck: Standard,418.0,A1,B,25.6,28.4,26.9,2.9,3.2,3.0,566.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1T (21"" Wheels) Performance Dual Large",Pickup truck: Standard,496.0,A1,B,25.6,28.4,26.9,2.9,3.2,3.0,566.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1T (22"" Wheels)",Pickup truck: Standard,650.0,A1,B,28.7,33.1,30.7,3.2,3.7,3.4,488.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1T (22"" Wheels) Dual Large",Pickup truck: Standard,418.0,A1,B,26.1,29.5,27.6,2.9,3.3,3.1,549.0,0.0,10.0,10.0,13.0
2023,Rivian,"R1T (22"" Wheels) Performance Dual Large",Pickup truck: Standard,496.0,A1,B,26.1,29.5,27.6,2.9,3.3,3.1,549.0,0.0,10.0,10.0,13.0
2023,Subaru,Solterra AWD,SUV: Small,160.0,A1,B,18.6,22.4,20.3,2.1,2.5,2.3,360.0,0.0,10.0,10.0,11.0
2023,Tesla,Model 3 RWD,Mid-size,191.0,A1,B,15.2,16.6,15.8,1.7,1.9,1.8,438.0,0.0,10.0,10.0,8.5
2023,Tesla,Model 3 Long Range AWD,Mid-size,293.0,A1,B,15.6,16.6,16.0,1.8,1.9,1.8,576.0,0.0,10.0,10.0,10.0
2023,Tesla,Model 3 Long Range AWD (Import),Mid-size,276.0,A1,B,16.0,17.3,16.6,1.8,1.9,1.9,534.0,0.0,10.0,10.0,10.0
2023,Tesla,Model 3 Performance,Mid-size,321.0,A1,B,17.8,19.6,18.6,2.0,2.2,2.1,507.0,0.0,10.0,10.0,10.0
2023,Tesla,Model S,Full-size,494.0,A1,B,16.9,18.3,17.5,1.9,2.1,2.0,652.0,0.0,10.0,10.0,15.0
2023,Tesla,"Model S Plaid (19"" Wheels)",Full-size,750.0,A1,B,17.6,18.7,18.1,2.0,2.1,2.0,637.0,0.0,10.0,10.0,15.0
2023,Tesla,"Model S Plaid (21"" Wheels)",Full-size,750.0,A1,B,20.4,21.2,20.8,2.3,2.4,2.3,560.0,0.0,10.0,10.0,15.0
2023,Tesla,Model X,SUV: Standard,494.0,A1,B,19.7,21.7,20.6,2.2,2.4,2.3,560.0,0.0,10.0,10.0,14.0
2023,Tesla,"Model X Plaid (20"" Wheels)",SUV: Standard,750.0,A1,B,20.4,22.5,21.4,2.3,2.5,2.4,536.0,0.0,10.0,10.0,14.0
2023,Tesla,"Model X Plaid (22"" Wheels)",SUV: Standard,750.0,A1,B,22.3,23.8,22.9,2.5,2.7,2.6,500.0,0.0,10.0,10.0,14.0
2023,Tesla,Model Y RWD,SUV: Small,211.0,A1,B,16.6,18.1,17.3,1.9,2.0,1.9,394.0,0.0,10.0,10.0,8.0
2023,Tesla,Model Y AWD,SUV: Small,291.0,A1,B,16.3,18.1,17.1,1.8,2.0,1.9,449.0,0.0,10.0,10.0,9.0
2023,Tesla,Model Y Long Range AWD,SUV: Small,291.0,A1,B,16.5,17.9,17.2,1.9,2.0,1.9,531.0,0.0,10.0,10.0,10.0
2023,Tesla,Model Y Long Range AWD (Import),SUV: Small,291.0,A1,B,17.4,18.2,17.8,2.0,2.0,2.0,497.0,0.0,10.0,10.0,10.0
2023,Tesla,Model Y Performance,SUV: Small,312.0,A1,B,18.2,19.8,18.9,2.0,2.2,2.1,488.0,0.0,10.0,10.0,10.0
2023,Tesla,Model Y Performance (Import),SUV: Small,314.0,A1,B,18.3,20.4,19.2,2.1,2.3,2.2,459.0,0.0,10.0,10.0,10.0
2023,Toyota,bZ4X,SUV: Small,150.0,A1,B,16.0,19.5,17.6,1.8,2.2,2.0,406.0,0.0,10.0,10.0,11.0
2023,Toyota,bZ4X AWD,SUV: Small,160.0,A1,B,18.4,22.3,20.1,2.1,2.5,2.3,367.0,0.0,10.0,10.0,11.0
2023,VinFast,VF8 ECO,SUV: Small,260.0,A1,B,26.4,29.5,27.8,3.0,3.3,3.1,425.0,0.0,10.0,10.0,12.0
2023,VinFast,VF8 PLUS,SUV: Small,260.0,A1,B,32.3,34.3,33.2,3.6,3.8,3.7,354.0,0.0,10.0,10.0,12.0
2023,VinFast,VF8 PLUS,SUV: Small,300.0,A1,B,43.8,48.4,45.9,4.9,5.4,5.2,391.0,0.0,10.0,10.0,12.0
2023,Volkswagen,ID.4,SUV: Small,150.0,A1,B,18.2,21.2,19.6,2.0,2.4,2.2,336.0,0.0,10.0,10.0,6.0
2023,Volkswagen,ID.4 Pro,SUV: Small,150.0,A1,B,18.2,21.3,19.6,2.0,2.4,2.2,443.0,0.0,10.0,10.0,7.5
2023,Volkswagen,ID.4 AWD Pro,SUV: Small,220.0,A1,B,20.1,22.6,21.2,2.3,2.5,2.4,410.0,0.0,10.0,10.0,7.5
2023,Volvo,C40 Recharge Twin,SUV: Small,300.0,A1,B,22.2,26.1,23.9,2.5,2.9,2.7,364.0,0.0,10.0,10.0,8.0
2023,Volvo,XC40 Recharge Twin,SUV: Small,300.0,A1,B,22.8,26.6,24.5,2.6,3.0,2.8,359.0,0.0,10.0,10.0,8.0
